"Three phase Motor rating, HP",115,208,600
0.5,4.4,2.4,0.9
0.75,6.4,3.5,1.3
1,8.4,4.6,1.7
1.5,12,6.6,2.4
2,13.6,7.5,2.7
3,19.2,10.6,3.9
5,30.4,16.7,6.1
7.5,44,24.2,9
10,56,30.8,11
15,84,46.2,17
20,108,59.4,22
25,136,74.8,27
30,160,88,32
40,208,114,41
50,260,143,52
60,-1,169,62
75,-1,211,77
100,-1,273,99
125,-1,343,125
150,-1,396,144
200,-1,528,192
250,-1,-1,242
300,-1,-1,289
350,-1,-1,336
400,-1,-1,382
450,-1,-1,412
500,-1,-1,472
